Id,sex,annual_income,monthly_expenses,home_ownership,water_availabity,loan_tenure,loan_installments,loan_amount
119,F,36000,3000,1,0.5,12,12,5000
120,F,30000,2500,1,0.5,12,12,5000
121,F,48000,4000,1,0.5,12,50,7500
122,F,96000,3000,1,0.5,12,50,7500
123,F,60000,5000,1,0.5,12,12,5000
124,F,60000,3000,1,0.5,12,12,5000
125,F,84000,3000,1,0.5,12,50,7500
126,F,48000,4000,1,0.5,12,12,5000
127,F,36000,2500,1,0.5,12,50,7500
128,F,48000,4000,1,0.5,12,50,7500
129,F,36000,3000,1,0.5,12,12,5000
130,F,48000,3500,1,0.5,12,50,7500
131,F,60000,5000,1,0.5,12,12,5000
132,F,30000,2500,1,0.5,12,12,5000
133,F,60000,3000,1,0.5,12,50,7500
134,F,36000,3000,1,0.5,12,12,5000
135,F,84000,3500,1,0.5,12,50,7500
136,F,0,3000,1,0.5,12,50,7500
137,F,60000,5000,1,0.5,12,50,7500
138,F,24000,2000,1,0.5,12,12,5000
139,F,36000,3000,1,0.5,12,12,5000
140,F,24000,2000,1,0.5,12,12,5000
141,F,24000,2000,1,0.5,12,12,5000
142,F,24000,2000,1,0.5,12,12,5000
143,F,24000,2000,1,0.5,12,12,5000
144,F,24000,2000,1,0.5,12,12,5000
145,F,24000,2000,1,0.5,12,12,5000
146,F,25000,2200,1,0.5,12,12,5000
147,F,36000,3600,1,0.5,12,12,5000
148,M,30000,2000,1,0.5,12,12,5000
149,M,30000,3000,1,0.5,12,12,5000
150,M,24000,2400,1,0.5,12,12,5000
151,M,25000,2500,1,0.5,12,12,5000
152,F,36000,5000,0,0.5,12,12,5000
153,M,25000,2000,1,0.5,12,12,5000
154,F,36000,3000,1,0.5,12,12,5000
155,F,60000,5000,1,0.5,12,12,5000
156,F,30000,4500,1,0.5,12,12,5000
157,F,36000,3000,1,0.5,12,12,5000
158,F,48000,5000,1,0.5,12,12,5000
159,F,48000,4000,1,0.5,12,12,5000
160,F,0,1500,1,0.5,12,12,5000
161,F,0,3000,1,0.5,12,12,5000
162,F,0,4000,1,0.5,12,12,7500
163,F,0,3000,1,0.5,12,12,7500
164,F,0,3000,1,0.5,12,12,7500
165,F,0,2500,1,0.5,12,12,7500
166,F,0,3000,1,0.5,12,12,7500
167,F,0,2200,1,0.5,12,12,5000
168,F,0,2200,1,0.5,12,12,5000
169,F,0,2700,1,0.5,12,12,5000
170,F,0,2500,1,0.5,12,12,5000
171,F,36000,2900,1,0.5,12,50,5000
172,F,0,2200,1,0.5,12,12,5000
173,F,0,1500,1,0.5,12,12,5000
174,F,0,1700,1,0.5,12,12,5000
175,F,0,3500,1,0.5,12,12,5000
176,F,0,2000,1,0.5,12,12,5000
177,F,0,2700,1,0.5,12,12,5000
178,F,0,1500,1,0.5,12,12,5000
179,F,0,2500,1,0.5,12,12,5000
180,F,0,3500,1,0.5,12,12,5000
181,F,0,2200,1,0.5,12,12,5000
182,F,0,4000,1,0.5,12,12,5000
183,F,0,3200,1,0.5,12,12,5000
184,F,0,2700,1,0.5,12,12,5000
185,F,0,2000,1,0.5,12,12,5000
186,F,0,3000,1,0.5,12,12,5000
187,F,0,3500,1,0.5,12,12,5000
188,F,0,2000,1,0.5,12,12,5000
189,F,0,2800,1,0.5,12,12,5000
190,F,36000,2800,1,0.5,12,50,5000
191,F,30000,2500,1,0.5,12,50,5000
192,F,30000,2900,1,0.5,12,50,5000
193,F,0,2000,1,0.5,12,12,5000
194,F,42000,3000,1,0.5,12,50,5000
195,F,42000,3000,1,0.5,12,50,5000
196,F,36000,2800,1,0.5,12,50,5000
197,F,42000,2400,1,0.5,12,50,5000
198,F,0,4000,1,0.5,12,12,5000
199,F,0,3200,1,0.5,12,12,5000
200,F,36000,2900,1,0.5,12,50,5000
201,F,0,3100,1,0.5,12,12,5000
202,F,0,2400,1,0.5,12,12,5000
203,F,22000,2400,1,0.5,12,12,5000
204,F,0,4500,1,0.5,12,12,5000
205,F,19000,2500,1,0.5,12,12,5000
206,F,0,2800,1,0.5,12,12,5000
207,F,0,3500,1,0.5,12,12,5000
208,F,0,4000,1,0.5,12,12,5000
209,F,0,3400,1,0.5,12,12,5000
210,F,0,4500,1,0.5,12,12,5000
211,F,21000,4000,1,0.5,12,12,5000
212,F,5000,3700,1,0.5,12,50,5000
213,F,50000,4000,1,0.5,12,12,5000
214,F,30,3000,1,0.5,12,12,5000
215,F,42000,3400,1,0.5,12,50,5000
216,F,42000,3400,1,0.5,12,50,5000
217,F,36000,2900,1,0.5,12,50,5000
218,F,48000,3900,1,0.5,12,50,5000
219,F,38400,3200,1,0.5,12,50,8000
220,F,50000,80000,1,0.5,12,12,5000
221,F,50000,90000,1,0.5,12,12,5000
222,F,50000,80000,1,0.5,12,12,5000
223,F,30000,20000,1,0.5,12,12,5000
224,F,30000,50000,1,0.5,12,12,5000
225,F,34000,34000,1,0.5,12,12,5000
226,F,40000,90000,1,0.5,12,12,5000
227,F,40000,80000,1,0.5,12,12,5000
228,F,25000,30000,1,0.5,12,12,5000
229,F,20000,12000,1,0.5,12,12,5000
230,F,30000,30000,1,0.5,12,12,5000
231,F,25000,25000,1,0.5,12,12,5000
232,F,20000,30000,1,0.5,12,12,5000
233,F,20000,35000,1,0.5,12,12,5000
234,F,20000,35000,1,0.5,12,12,5000
235,F,39600,3300,1,0.5,12,50,8000
236,F,36000,2900,1,0.5,12,50,8000
237,F,43200,3500,1,0.5,12,50,8000
238,F,40000,3500,1,0.5,12,12,5000
239,F,50400,4100,1,0.5,12,50,8000
240,F,36000,2900,1,0.5,12,50,8000
241,F,56400,4000,1,0.5,12,50,8000
242,F,48000,3800,1,0.5,12,50,8000
243,F,38400,3200,1,0.5,12,50,8000
244,F,42000,2500,1,0.5,12,50,8000
245,F,42000,3500,1,0.5,12,50,8000
246,F,12000,3000,1,0.5,12,12,5000
247,F,12000,3500,1,0.5,12,12,5000
248,F,48000,3800,1,0.5,12,50,5000
249,F,18000,3000,1,0.5,12,12,5000
250,F,54000,4400,1,0.5,12,50,5000
251,M,24000,2000,1,0.5,12,12,5000
252,M,24000,2000,1,0.5,12,12,5000
253,F,24000,3000,1,0.5,12,12,5000
254,F,54000,4100,1,0.5,12,50,5000
255,M,30000,2000,1,0.5,12,12,5000
256,F,24000,3000,1,0.5,12,12,5000
257,F,48000,3800,1,0.5,12,50,5000
258,M,36000,2400,1,0.5,12,12,5000
259,F,12000,4000,1,0.5,12,12,5000
260,F,54000,4400,1,0.5,12,50,5000
261,F,18000,2500,1,0.5,12,12,5000
262,F,12000,3000,1,0.5,12,12,5000
263,F,18000,4500,1,0.5,12,12,5000
264,F,18000,4500,1,0.5,12,12,5000
265,F,12000,5500,1,0.5,12,12,5000
266,F,12000,3000,1,0.5,12,12,5000
267,F,18000,4500,1,0.5,12,12,5000
268,F,12000,4500,1,0.5,12,12,5000
269,F,18000,5200,1,0.5,12,12,5000
270,M,33000,2400,1,0.5,12,12,5000
271,M,36000,2700,1,0.5,12,12,5000
272,M,15000,800,1,0.5,12,12,5000
273,M,45000,3600,1,0.5,12,12,5000
274,M,25000,1800,1,0.5,12,12,5000
275,M,1600,800,1,0.5,12,12,5000
276,F,36000,2500,1,0.5,12,12,5000
277,M,38000,2800,1,0.5,12,12,5000
278,M,20000,1200,1,0.5,12,12,5000
279,M,30000,2000,1,0.5,12,12,5000
280,M,18000,1000,1,0.5,12,12,5000
281,M,15000,900,1,0.5,12,12,5000
282,F,12000,4000,1,0.5,12,12,5000
283,F,0,2500,1,0.5,12,12,5000
284,F,0,2500,1,0.5,12,12,5000
285,F,24000,4000,1,0.5,12,12,5000
286,F,24000,4800,1,0.5,12,12,5000
287,F,40000,5000,1,0.5,12,12,5000
288,F,24000,3000,1,0.5,12,12,5000
289,F,12000,4000,1,0.5,12,12,5000
290,F,12000,3500,1,0.5,12,12,5000
291,F,18000,6000,1,0.5,12,12,5000
292,F,18000,4000,1,0.5,12,12,5000
293,F,24000,4500,1,0.5,12,12,5000
294,F,24000,4800,1,0.5,12,12,5000
295,F,18000,4300,1,0.5,12,12,5000
296,F,18000,4000,1,0.5,12,12,5000
297,F,16800,4200,1,0.5,12,12,5000
298,F,12000,4000,1,0.5,12,12,5000
299,F,12000,3000,1,0.5,12,12,5000
300,F,6000,3750,1,0.5,12,12,5000
301,F,8400,3300,1,0.5,12,12,5000
302,F,4800,2500,1,0.5,12,12,5000
303,F,9600,3100,1,0.5,12,12,5000
304,F,8400,2300,1,0.5,12,12,5000
305,F,4800,3800,1,0.5,12,12,5000
306,F,6000,3500,1,0.5,12,12,5000
307,F,10800,3200,1,0.5,12,12,5000
308,F,7200,3000,1,0.5,12,12,5000
309,F,6600,2800,1,0.5,12,12,5000
310,F,6000,3250,1,0.5,12,12,5000
311,F,9600,3500,1,0.5,12,12,5000
312,F,12000,3200,1,0.5,12,12,5000
313,F,6000,3500,1,0.5,12,12,5000
314,F,12000,3200,1,0.5,12,12,5000
315,M,18000,900,1,0.5,12,12,5000
316,M,16000,900,1,0.5,12,12,5000
317,M,18000,1100,1,0.5,12,12,5000
318,M,36000,1100,1,0.5,12,12,5000
319,M,42000,3000,1,0.5,12,12,5000
320,M,20000,1100,1,0.5,12,12,5000
321,M,38000,2800,1,0.5,12,12,5000
322,M,32000,2300,1,0.5,12,12,5000
323,M,24000,1200,1,0.5,12,12,5000
324,M,40000,3000,1,0.5,12,12,5000
325,M,42000,3200,1,0.5,12,12,5000
326,F,38000,1500,1,0.5,12,12,5000
327,F,36000,1700,1,0.5,12,12,5000
328,F,36000,2400,1,0.5,12,12,5000
329,F,55000,4000,1,0.5,12,12,5000
330,F,60000,3000,1,0.5,12,12,5000
331,M,48000,6500,1,0.5,12,12,5000
332,F,6000,3000,1,0.5,12,12,5000
333,F,60000,3000,1,0.5,12,12,5000
334,F,55000,4500,1,0.5,12,12,5000
335,F,48000,4500,1,0.5,12,12,5000
336,F,48000,3500,1,0.5,12,12,5000
337,F,42000,3000,1,0.5,12,12,5000
338,F,36000,4500,1,0.5,12,12,5000
339,F,36000,4000,1,0.5,12,12,5000
340,F,48000,4500,1,0.5,12,12,5000
341,F,48000,3000,1,0.5,12,12,5000
342,F,30000,4000,1,0.5,12,12,5000
343,F,36000,3000,1,0.5,12,12,5000
344,F,30000,1500,1,0.5,12,12,5000
345,F,24000,1700,1,0.5,12,12,5000
346,F,30000,1900,1,0.5,12,12,5000
347,F,38000,1800,1,0.5,12,12,5000
348,F,30000,1800,1,0.5,12,12,5000
349,F,36000,1800,1,0.5,12,12,5000
350,F,18000,1300,1,0.5,12,12,5000
351,F,33000,1600,1,0.5,12,12,5000
352,F,36000,3000,1,0.5,12,12,5000
353,F,40000,3500,1,0.5,12,12,5000
354,F,36000,3500,1,0.5,12,12,5000
355,F,48000,4000,1,0.5,12,12,5000
356,F,36000,3000,1,0.5,12,12,5000
357,F,36000,3000,1,0.5,12,12,5000
358,F,36000,3000,1,0.5,12,12,5000
359,F,48000,3500,1,0.5,12,12,5000
360,F,48000,4000,1,0.5,12,12,5000
361,F,36000,3000,1,0.5,12,12,5000
362,F,36000,3000,1,0.5,12,12,5000
363,F,36000,3000,1,0.5,12,50,5000
364,F,36000,3000,1,0.5,12,12,5000
365,F,33600,2800,1,0.5,12,50,5000
366,F,30000,3000,1,0.5,12,12,5000
367,F,48000,3900,1,0.5,12,50,5000
368,F,40000,3500,1,0.5,12,12,5000
369,F,60000,4500,1,0.5,12,50,5000
370,F,60000,4000,1,0.5,12,50,5000
371,F,60000,4000,1,0.5,12,50,5000
372,F,40000,3200,1,0.5,12,12,5000
373,F,50000,4000,1,0.5,12,12,5000
374,F,36000,3000,1,0.5,12,12,5000
375,F,36000,3000,1,0.5,12,12,5000
376,F,36000,3000,1,0.5,12,12,5000
377,F,40000,3200,1,0.5,12,12,5000
378,F,42000,3400,1,0.5,12,50,5000
379,F,36000,3000,1,0.5,12,12,5000
380,F,36000,3000,1,0.5,12,12,5000
381,F,48000,4000,1,0.5,12,12,5000
382,F,36000,3000,1,0.5,12,12,5000
383,F,72000,5000,1,0.5,12,50,5000
384,F,36000,3000,1,0.5,12,12,5000
385,F,18000,1000,1,0.5,12,12,5000
386,M,15000,900,1,0.5,12,12,5000
387,F,48000,4000,1,0.5,12,12,5000
388,M,18000,900,1,0.5,12,12,5000
389,F,72000,4000,1,0.5,12,50,5000
390,F,60000,4000,1,0.5,12,50,5000
391,F,36000,3000,1,0.5,12,12,5000
392,M,20000,900,1,0.5,12,12,5000
393,F,36000,3000,1,0.5,12,12,5000
394,F,48000,4000,1,0.5,12,12,5000
395,F,48000,4000,1,0.5,12,12,5000
396,F,30000,3000,1,0.5,12,12,5000
397,F,36000,3000,1,0.5,12,12,5000
398,F,36000,3000,1,0.5,12,12,5000
399,F,36000,3000,1,0.5,12,12,5000
400,F,36000,3000,1,0.5,12,12,5000
401,F,36000,3000,1,0.5,12,12,5000
402,F,30000,3000,1,0.5,12,12,5000
403,F,60000,4500,1,0.5,12,50,5000
404,F,72000,4500,1,0.5,12,50,5000
405,F,72000,4500,1,0.5,12,50,5000
406,F,36000,3000,1,0.5,12,12,5000
407,F,48000,4000,1,0.5,12,12,5000
408,F,40000,3200,1,0.5,12,12,5000
409,F,36000,3000,1,0.5,12,12,5000
410,F,40000,3000,1,0.5,12,12,5000
411,F,35000,3200,1,0.5,12,12,5000
412,F,48000,4000,1,0.5,12,12,5000
413,F,60000,4500,1,0.5,12,50,5000
414,F,60000,4500,1,0.5,12,12,5000
415,F,84000,5000,1,0.5,12,50,5000
416,F,48000,4000,1,0.5,12,50,5000
417,F,72000,5000,1,0.5,12,50,5000
418,F,72000,4500,1,0.5,12,50,5000
419,F,50000,4000,1,0.5,12,12,5000
420,F,30000,2500,1,0.5,12,12,5000
421,F,60000,4000,1,0.5,12,50,5000
422,F,40000,3200,1,0.5,12,12,5000
423,F,72000,4500,1,0.5,12,50,5000
424,F,36000,3000,1,0.5,12,12,5000
425,F,60000,4000,1,0.5,12,50,5000
426,F,48000,4000,1,0.5,12,12,5000
427,F,36000,3000,1,0.5,12,12,5000
428,F,60000,4500,1,0.5,12,50,5000
429,F,60000,4000,1,0.5,12,50,5000
430,F,36000,2500,1,0.5,12,50,5000
431,F,24000,2000,1,0.5,12,12,5000
432,F,40000,3500,1,0.5,12,12,5000
433,F,18000,3000,1,0.5,12,12,5000
434,F,36000,3000,1,0.5,12,12,5000
435,F,36000,3000,1,0.5,12,12,5000
436,F,36000,5000,1,0.5,12,12,5000
437,F,36000,3000,1,0.5,12,12,5000
438,F,54000,4200,1,0.5,12,50,5000
439,F,36000,3000,1,0.5,12,12,5000
440,F,45600,3600,1,0.5,12,50,5000
441,F,28000,3000,1,0.5,12,12,5000
442,F,30000,3000,1,0.5,12,12,5000
443,F,44400,3600,1,0.5,12,50,5000
444,F,48000,4000,1,0.5,12,12,5000
445,F,36000,3000,1,0.5,12,12,5000
446,F,45600,3800,1,0.5,12,50,5000
447,F,36000,3000,1,0.5,12,12,5000
448,F,36000,3000,1,0.5,12,12,5000
449,F,42000,3400,1,0.5,12,50,5000
450,F,36000,3000,1,0.5,12,12,5000
451,F,42000,3800,1,0.5,12,50,5000
452,F,48000,4000,1,0.5,12,12,5000
453,F,36000,3000,1,0.5,12,12,5000
454,F,36000,3000,1,0.5,12,12,5000
455,F,54000,4200,1,0.5,12,50,5000
456,F,48000,3900,1,0.5,12,50,5000
457,F,36000,3000,1,0.5,12,12,5000
458,F,42000,3100,1,0.5,12,50,5000
459,F,54000,4500,1,0.5,12,50,5000
460,F,31000,1700,1,0.5,12,12,5000
461,F,30000,1800,1,0.5,12,12,5000
462,F,24000,1600,1,0.5,12,12,5000
463,F,24000,1700,1,0.5,12,12,5000
464,F,60000,6000,1,0.5,12,12,5000
465,F,54000,4400,1,0.5,12,50,5000
466,F,42000,3400,1,0.5,12,50,5000
467,F,48000,3700,1,0.5,12,50,5000
468,F,42000,3400,1,0.5,12,50,5000
469,F,42000,3500,1,0.5,12,50,5000
470,F,42000,3500,1,0.5,12,50,5000
471,F,39600,3100,1,0.5,12,50,5000
472,F,44400,3700,1,0.5,12,50,5000
473,F,30000,2900,1,0.5,12,12,5000
474,F,42000,3000,1,0.5,12,50,5000
475,F,42000,3400,1,0.5,12,50,5000
476,M,80000,4500,1,0.5,12,12,5000
477,F,70000,5000,1,0.5,12,12,5000
478,F,50000,4500,1,0.5,12,12,5000
479,F,80000,3500,1,0.5,12,12,5000
480,F,60000,6000,1,0.5,12,12,5000
481,F,60000,3000,1,0.5,12,12,5000
482,F,24000,2200,1,0.5,12,12,5000
483,F,48000,3200,1,0.5,12,12,5000
484,F,16800,4000,1,0.5,12,12,5000
485,F,80000,4000,1,0.5,12,12,5000
486,F,90000,5000,1,0.5,12,12,5000
487,F,2000,6000,0,0.5,12,12,5000
488,F,3000,8000,1,0.5,12,12,5000
489,F,7000,5000,1,0.5,12,12,5000
490,F,50000,3500,1,0.5,12,12,5000
491,F,90000,3000,1,0.5,12,12,5000
492,F,90000,3500,1,0.5,12,12,5000
493,F,1.00E+05,6000,1,0.5,12,12,5000
494,F,60000,4000,1,0.5,12,12,5000
495,F,50000,5000,1,0.5,12,12,5000
496,F,90000,6000,1,0.5,12,12,5000
497,F,48000,6000,0,0.5,12,12,5000
498,F,36000,4500,0,0.5,12,12,5000
499,F,42000,6500,0,0.5,12,12,5000
500,F,48000,10000,1,0.5,12,12,5000
501,F,36000,4500,0,0.5,12,12,5000
502,F,54000,3800,1,0.5,12,50,5000
503,F,24000,4500,1,0.5,12,12,5000
504,F,60000,7000,0,0.5,12,12,5000
505,F,18000,4200,0,0.5,12,12,5000
506,F,54000,10000,0,0.5,12,12,5000
507,F,60000,8000,1,0.5,12,12,5000
508,F,18000,4500,1,0.5,12,12,5000
509,F,36000,4500,1,0.5,12,12,5000
510,F,30000,2000,1,0.5,12,12,5000
511,F,30000,6000,0,0.5,12,12,5000
512,F,36000,4500,1,0.5,12,12,5000
513,F,18000,4000,1,0.5,12,12,5000
514,F,30000,10000,1,0.5,12,12,5000
515,F,30000,5000,1,0.5,12,12,5000
516,F,0,3500,1,0.5,12,12,5000
517,F,10000,4500,1,0.5,12,12,5000
518,F,18000,1500,1,0.5,12,12,5000
519,F,18000,1500,1,0.5,12,12,5000
520,F,7200,3500,1,0.5,12,12,5000
521,F,18000,4000,1,0.5,12,12,5000
522,F,42000,7000,1,0.5,12,12,5000
523,F,24000,6000,1,0.5,12,12,5000
524,F,36000,8500,1,0.5,12,12,5000
525,F,48000,6000,1,0.5,12,12,5000
526,F,48000,5500,1,0.5,12,12,5000
527,F,48000,6500,1,0.5,12,12,5000
528,F,30000,5000,1,0.5,12,12,5000
529,F,30000,6000,1,0.5,12,12,5000
530,F,36000,5000,1,0.5,12,12,5000
531,F,60000,4000,1,0.5,12,12,5000
532,F,54000,6000,1,0.5,12,12,5000
533,F,22000,4000,1,0.5,12,12,5000
534,F,24000,4000,1,0.5,12,12,5000
535,F,20000,3000,1,0.5,12,12,5000
536,F,20000,3000,0,0.5,12,12,5000
537,F,21000,4000,1,0.5,12,12,5000
538,F,21000,4000,1,0.5,12,12,5000
539,F,42000,9000,1,0.5,12,12,5000
540,F,1.00E+05,5000,1,0.5,12,12,5000
541,F,90000,6000,1,0.5,12,12,5000
542,F,90000,6000,1,0.5,12,12,5000
543,F,60000,5000,1,0.5,12,12,5000
544,F,90000,5000,1,0.5,12,12,5000
545,F,1.00E+05,5000,1,0.5,12,12,5000
546,F,84000,6000,1,0.5,12,50,7500
547,F,84000,5000,1,0.5,12,50,7500
548,F,84000,5000,1,0.5,12,50,7500
549,F,84000,5000,1,0.5,12,50,7500
550,F,84000,3000,1,0.5,12,50,7500
551,F,84000,5000,1,0.5,12,50,7500
552,F,72000,5000,1,0.5,12,50,7500
553,F,80000,5000,1,0.5,12,50,7500
554,F,80000,5000,1,0.5,12,50,7500
555,F,82000,5000,1,0.5,12,50,7500
556,F,84000,5000,1,0.5,12,50,7500
557,F,85000,5500,1,0.5,12,50,7500
558,F,86000,5000,1,0.5,12,50,7500
559,F,22000,4000,1,0.5,12,12,5000
560,F,22000,3500,1,0.5,12,12,5000
561,F,23000,3500,0,0.5,12,12,5000
562,F,18000,3500,1,0.5,12,12,5000
563,F,72000,5000,1,0.5,12,50,7500
564,F,78000,4500,1,0.5,12,50,7500
565,F,36000,6000,1,0.5,12,12,5000
566,F,96000,6000,1,0.5,12,50,7500
567,F,42000,5400,0,0.5,12,12,5000
568,F,48000,8000,0,0.5,12,12,5000
569,F,22000,3000,1,0.5,12,12,5000
570,F,22000,3500,1,0.5,12,12,5000
571,F,84000,5000,1,0.5,12,50,7500
572,F,20000,4000,0,0.5,12,12,5000
573,F,20000,3000,1,0.5,12,12,5000
574,F,0,6500,1,0.5,12,12,5000
575,F,90000,5000,1,0.5,12,12,5000
576,F,90000,6000,1,0.5,12,12,5000
577,F,80000,5000,0,0.5,12,12,5000
578,F,90000,7000,1,0.5,12,12,5000
579,F,84000,5500,1,0.5,12,50,7500
580,F,90000,6000,1,0.5,12,12,5000
581,F,86000,5200,1,0.5,12,50,7500
582,F,78000,5000,1,0.5,12,50,7500
583,F,80000,5000,1,0.5,12,12,5000
584,F,40000,5000,0,0.5,12,12,5000
585,F,80000,5000,0,0.5,12,12,5000
586,F,40000,5000,0,0.5,12,12,5000
587,F,50000,6000,0,0.5,12,12,5000
588,F,4000,4500,0,0.5,12,12,5000
589,F,40000,6000,0,0.5,12,12,5000
590,F,84000,5000,1,0.5,12,12,5000
591,F,80000,5000,1,0.5,12,12,5000
592,F,36000,4000,1,0.5,12,12,5000
593,F,20000,4500,0,0.5,12,12,5000
594,F,22000,4000,0,0.5,12,12,5000
595,F,45000,4000,1,0.5,12,12,5000
596,F,45000,4000,0,0.5,12,12,5000
597,F,50000,5000,0,0.5,12,12,5000
598,F,60000,4000,0,0.5,12,12,5000
599,F,60000,4000,0,0.5,12,12,5000
600,F,60000,8000,1,0.5,12,12,5000
601,F,60000,5000,1,0.5,12,12,5000
602,F,72000,4500,1,0.5,12,12,5000
603,F,1.00E+05,4000,1,0.5,12,12,5000
604,F,1.00E+05,4000,1,0.5,12,12,5000
605,F,20000,4500,0,0.5,12,12,5000
